saved_at,session_start,replay_timestamp,instrument,side,quantity,fill_price,position_before,position_after,avg_price_after,realized_delta,realized_pnl,unrealized_pnl,source
36:23.4,24/06/2026 9:30,13:30.4,NQ,SELL,1,29813.75,1,0,0,,-450,,1 CSV file(s) via ticks.sqlite3
37:12.9,24/06/2026 9:30,15:03.8,NQ,BUY,1,29815.75,0,1,29815.75,,0,,1 CSV file(s) via ticks.sqlite3
37:19.6,24/06/2026 9:30,16:44.3,NQ,SELL,1,29789,1,0,0,,-535,,1 CSV file(s) via ticks.sqlite3
37:25.3,24/06/2026 9:30,20:13.1,NQ,SELL,1,29781.25,0,-1,29781.25,,0,,1 CSV file(s) via ticks.sqlite3
37:30.8,24/06/2026 9:30,23:57.5,NQ,BUY,1,29802.5,-1,0,0,,-425,,1 CSV file(s) via ticks.sqlite3
38:06.4,24/06/2026 9:30,35:26.2,NQ,SELL,1,29770.75,0,-1,29770.75,,0,,1 CSV file(s) via ticks.sqlite3
38:12.3,24/06/2026 9:30,39:15.9,NQ,BUY,1,29731.75,-1,0,0,,780,,1 CSV file(s) via ticks.sqlite3
39:28.5,24/06/2026 11:30,40:24.5,NQ,SELL,1,29730.5,0,-1,29730.5,,0,,1 CSV file(s) via ticks.sqlite3
39:34.5,24/06/2026 11:30,46:12.3,NQ,BUY,1,29710,-1,0,0,,410,,1 CSV file(s) via ticks.sqlite3
40:13.0,24/06/2026 11:30,10:42.9,NQ,BUY,1,29699.25,0,1,29699.25,,0,,1 CSV file(s) via ticks.sqlite3
40:26.8,24/06/2026 11:30,19:46.3,NQ,SELL,1,29680,1,0,0,,-385,,1 CSV file(s) via ticks.sqlite3
40:31.5,24/06/2026 11:30,20:15.5,NQ,BUY,1,29689.5,0,1,29689.5,,0,,1 CSV file(s) via ticks.sqlite3
42:36.9,5/06/2026 16:30,25:32.3,NQ,BUY,1,30102.75,0,1,30102.75,,0,,1 CSV file(s) via ticks.sqlite3
42:49.8,5/06/2026 16:30,32:21.9,NQ,SELL,1,30133.75,1,0,0,,620,,1 CSV file(s) via ticks.sqlite3
43:51.1,12/06/2026 16:30,55:26.2,NQ,SELL,1,29343.5,0,-1,29343.5,,0,,1 CSV file(s) via ticks.sqlite3
44:09.1,12/06/2026 16:30,00:00.3,NQ,BUY,1,29365.75,-1,0,0,,-445,,1 CSV file(s) via ticks.sqlite3
44:22.1,12/06/2026 16:30,01:01.1,NQ,SELL,1,29343.5,0,-1,29343.5,,0,,1 CSV file(s) via ticks.sqlite3
44:29.6,12/06/2026 16:30,04:12.7,NQ,BUY,1,29314,-1,0,0,,590,,1 CSV file(s) via ticks.sqlite3
45:47.4,12/06/2026 16:30,41:29.7,NQ,BUY,1,29359.75,0,1,29359.75,,0,,1 CSV file(s) via ticks.sqlite3
45:58.7,12/06/2026 16:30,56:52.0,NQ,SELL,1,29419,1,0,0,,1185,,1 CSV file(s) via ticks.sqlite3
49:03.3,9/06/2026 16:30,45:34.2,NQ,BUY,1,29629,0,1,29629,,0,,1 CSV file(s) via ticks.sqlite3
49:15.1,9/06/2026 16:30,52:23.2,NQ,SELL,1,29609,1,0,0,,-400,,1 CSV file(s) via ticks.sqlite3
49:42.0,9/06/2026 16:30,10:33.9,NQ,BUY,1,29628.75,0,1,29628.75,,0,,1 CSV file(s) via ticks.sqlite3
49:47.4,9/06/2026 16:30,12:34.4,NQ,SELL,1,29660.75,1,0,0,,640,,1 CSV file(s) via ticks.sqlite3
51:45.3,9/06/2026 16:30,55:48.5,NQ,SELL,1,29642.25,0,-1,29642.25,,0,,1 CSV file(s) via ticks.sqlite3
53:03.2,9/06/2026 16:30,02:05.3,NQ,BUY,1,29663.5,-1,0,0,,-425,,1 CSV file(s) via ticks.sqlite3
43:07.6,2/07/2026 9:30,06:23.8,NQ,BUY,1,29985,0,1,29985,,0,,existing ticks.sqlite3
43:17.8,2/07/2026 9:30,07:09.0,NQ,SELL,1,29977,1,0,0,,-160,,existing ticks.sqlite3
43:19.4,2/07/2026 9:30,07:16.6,NQ,SELL,1,29973.75,0,-1,29973.75,,0,,existing ticks.sqlite3
43:23.1,2/07/2026 9:30,07:34.7,NQ,BUY,1,29978.5,-1,0,0,,-95,,existing ticks.sqlite3
43:23.9,2/07/2026 9:30,07:38.7,NQ,BUY,1,29981,0,1,29981,,0,,existing ticks.sqlite3
43:45.6,2/07/2026 9:30,09:20.9,NQ,BUY,1,30002,1,2,29991.5,,0,,existing ticks.sqlite3
44:32.6,2/07/2026 9:30,19:19.0,NQ,SELL,2,29984.5,2,0,0,,-280,,existing ticks.sqlite3
44:50.0,2/07/2026 9:30,20:39.0,NQ,BUY,1,29990.25,0,1,29990.25,,0,,existing ticks.sqlite3
45:11.0,2/07/2026 9:30,25:21.4,NQ,BUY,1,30045.5,1,2,30017.88,,0,,existing ticks.sqlite3
45:15.0,2/07/2026 9:30,36:48.5,NQ,SELL,2,30078.25,2,0,0,,2415,,existing ticks.sqlite3
47:08.4,30/06/2026 4:30,38:24.1,NQ,SELL,1,29949.25,0,-1,29949.25,,0,,existing ticks.sqlite3
47:15.4,30/06/2026 4:30,40:04.6,NQ,SELL,1,29968.75,-1,-2,29959,,0,,existing ticks.sqlite3
48:24.9,1/07/2026 8:00,10:46.4,NQ,SELL,1,30487,0,-1,30487,,0,,existing ticks.sqlite3
48:43.1,1/07/2026 8:00,17:43.5,NQ,BUY,1,30466.75,-1,0,0,,405,,existing ticks.sqlite3
50:27.6,1/07/2026 8:00,50:16.3,NQ,SELL,1,30458.5,0,-1,30458.5,,0,,existing ticks.sqlite3
50:48.2,1/07/2026 8:00,05:25.2,NQ,SELL,1,30420,-1,-2,30439.25,,0,,existing ticks.sqlite3
51:25.1,1/07/2026 11:35,50:08.7,NQ,SELL,1,30459.25,0,-1,30459.25,,0,,existing ticks.sqlite3
51:41.4,1/07/2026 11:35,05:07.6,NQ,SELL,1,30429.75,-1,-2,30444.5,,0,,existing ticks.sqlite3
51:52.8,1/07/2026 11:35,15:19.1,NQ,BUY,2,30379.25,-2,0,0,,2610,,existing ticks.sqlite3
53:13.8,2/07/2026 11:35,15:10.5,NQ,BUY,1,30236.5,0,1,30236.5,,0,,existing ticks.sqlite3
53:27.4,2/07/2026 11:35,20:26.7,NQ,SELL,1,30217,1,0,0,,-390,,existing ticks.sqlite3
53:59.4,2/07/2026 11:35,30:20.0,NQ,SELL,1,30188,0,-1,30188,,0,,existing ticks.sqlite3
54:08.2,2/07/2026 11:35,34:14.6,NQ,BUY,1,30209.5,-1,0,0,,-430,,existing ticks.sqlite3
54:48.4,2/07/2026 12:50,00:29.8,NQ,SELL,1,30211,0,-1,30211,,0,,existing ticks.sqlite3
55:03.7,2/07/2026 12:50,10:31.0,NQ,SELL,1,30167.5,-1,-2,30189.25,,0,,existing ticks.sqlite3
55:20.9,2/07/2026 12:50,25:51.6,NQ,BUY,2,30140.25,-2,0,0,,1960,,existing ticks.sqlite3
55:55.1,2/07/2026 12:50,26:54.7,NQ,SELL,1,30137.5,0,-1,30137.5,,0,,existing ticks.sqlite3
57:55.1,1/06/2026 10:00,05:30.5,NQ,BUY,1,30515.75,0,1,30515.75,,0,,existing ticks.sqlite3
58:00.3,1/06/2026 10:00,19:12.5,NQ,SELL,1,30496,1,0,0,,-395,,existing ticks.sqlite3
58:05.5,1/06/2026 10:00,20:14.2,NQ,BUY,1,30505.5,0,1,30505.5,,0,,existing ticks.sqlite3
58:14.7,1/06/2026 10:00,25:11.1,NQ,BUY,1,30529.25,1,2,30517.38,,0,,existing ticks.sqlite3
58:17.6,1/06/2026 10:00,29:45.3,NQ,SELL,2,30543.5,2,0,0,,1045,,existing ticks.sqlite3
00:43.6,1/06/2026 8:00,45:05.9,NQ,BUY,1,30455.5,0,1,30455.5,,0,,existing ticks.sqlite3
01:12.9,1/06/2026 8:00,00:33.3,NQ,BUY,1,30475.25,1,2,30465.38,,0,,existing ticks.sqlite3
01:13.9,1/06/2026 8:00,02:09.9,NQ,SELL,2,30496.25,2,0,0,,1235,,existing ticks.sqlite3
02:32.1,1/06/2026 8:00,10:35.2,NQ,BUY,1,30524.5,0,1,30524.5,,0,,existing ticks.sqlite3
02:42.4,1/06/2026 8:00,18:52.0,NQ,SELL,1,30500,1,0,0,,-490,,existing ticks.sqlite3
03:12.0,1/06/2026 10:00,20:10.6,NQ,BUY,1,30504,0,1,30504,,0,,existing ticks.sqlite3
03:21.4,1/06/2026 10:00,25:10.4,NQ,BUY,1,30528.5,1,2,30516.25,,0,,existing ticks.sqlite3
03:23.2,1/06/2026 10:00,29:50.4,NQ,SELL,2,30546,2,0,0,,1190,,existing ticks.sqlite3
33:18.5,10/07/2026 8:00,02:04.8,NQ,SELL,1,29897,0,-1,29897,,0,,2 CSV file(s) via ticks.sqlite3
34:25.2,10/07/2026 8:00,07:13.5,NQ,BUY,1,29886.5,-1,0,0,,210,,2 CSV file(s) via ticks.sqlite3
34:34.3,10/07/2026 8:00,07:55.4,NQ,SELL,1,29876,0,-1,29876,,0,,2 CSV file(s) via ticks.sqlite3
34:45.7,10/07/2026 8:00,08:47.0,NQ,BUY,1,29888,-1,0,0,,-240,,2 CSV file(s) via ticks.sqlite3
34:53.6,10/07/2026 8:00,09:22.3,NQ,SELL,1,29878,0,-1,29878,,0,,2 CSV file(s) via ticks.sqlite3
35:27.5,10/07/2026 8:00,11:58.0,NQ,SELL,1,29863.5,-1,-2,29870.75,,0,,2 CSV file(s) via ticks.sqlite3
36:08.8,10/07/2026 8:00,15:09.4,NQ,BUY,2,29901,-2,0,0,,-1210,,2 CSV file(s) via ticks.sqlite3
36:10.7,10/07/2026 8:00,15:17.5,NQ,SELL,1,29892.25,0,-1,29892.25,,0,,2 CSV file(s) via ticks.sqlite3
36:30.6,10/07/2026 8:00,16:42.3,NQ,SELL,1,29876.5,-1,-2,29884.38,,0,,2 CSV file(s) via ticks.sqlite3
37:50.4,10/07/2026 8:00,23:18.2,NQ,SELL,1,29855.5,-2,-3,29874.75,,0,,2 CSV file(s) via ticks.sqlite3
38:55.8,10/07/2026 8:00,28:14.7,NQ,BUY,3,29823.5,-3,0,0,,3075,,2 CSV file(s) via ticks.sqlite3
39:37.2,10/07/2026 8:00,40:14.8,NQ,BUY,1,29815.25,0,1,29815.25,,0,,2 CSV file(s) via ticks.sqlite3
39:59.1,10/07/2026 8:00,45:35.0,NQ,BUY,1,29828.25,1,2,29821.75,,0,,2 CSV file(s) via ticks.sqlite3
40:12.0,10/07/2026 8:00,56:27.9,NQ,SELL,2,29850.75,2,0,0,,1160,,2 CSV file(s) via ticks.sqlite3
